,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
mean radius,1.0,0.32378189092773324,0.9978552814938106,0.9873571700566129,0.17058118749299458,0.506123577526363,0.6767635503908105,0.8225285223871784,0.14774124199260188,-0.31163082630928984,0.6790903880020744,-0.09731744314481315,0.6741716157641049,0.7358636632128176,-0.22260012458211142,0.2059999804076987,0.1942036227615088,0.3761689559399252,-0.10432088141786554,-0.04264126911445634,0.9695389726112049,0.2970076439863734,0.9651365139559871,0.9410824595860461,0.11961613992160791,0.4134628230608012,0.5269114618385446,0.7442141978674655,0.16395333493630693,0.007065885692182385
mean texture,0.32378189092773324,1.0,0.3295330586865707,0.3210856960802071,-0.023388515998423332,0.23670222207437197,0.30241782794389144,0.29346405131394276,0.07140098048331764,-0.0764371834481342,0.2758686761737625,0.38635762272449065,0.28167311478720264,0.2598449866100985,0.0066137773535855215,0.1919746113239669,0.14329307656049867,0.16385102528521822,0.009127167755035892,0.05445751956893386,0.35257294715029575,0.912044588840421,0.3580395750532242,0.3435459471864695,0.07750335882212907,0.2778295924789794,0.3010252238164912,0.2953158433377365,0.10500791031597186,0.11920535139708566
mean perimeter,0.9978552814938106,0.3295330586865707,1.0,0.9865068039913908,0.20727816369100724,0.5569362108795619,0.7161356501174047,0.8509770412528194,0.18302721211685316,-0.2614769080663325,0.6917650135334819,-0.08676107831179455,0.6931348895408653,0.7449826941190684,-0.20269402629832212,0.2507436807405881,0.22808234539365824,0.407216915998619,-0.08162932702839933,-0.005523391057003878,0.9694763634663146,0.3030383715571504,0.9703868870426395,0.9415498080023067,0.1505494043170373,0.4557742280383272,0.5638792634736619,0.7712407893605496,0.18911504046245772,0.051018529723407056
mean area,0.9873571700566129,0.3210856960802071,0.9865068039913908,1.0,0.1770283772540016,0.498501682152412,0.6859828285519112,0.8232688686524342,0.1512930790351123,-0.28310981169142607,0.7325622269972968,-0.06628021360457734,0.7266283277906844,0.8000859212343204,-0.16677666660111282,0.2125825507792327,0.20766006048256924,0.37232028233071046,-0.07249658821176244,-0.019886963235068052,0.9627460860470841,0.28748862712139706,0.9591195743552647,0.9592133256498999,0.12352293875557081,0.3904103092424987,0.512605920443324,0.722016626260358,0.14356991388907164,0.003737597351571732
mean smoothness,0.17058118749299458,-0.023388515998423332,0.20727816369100724,0.1770283772540016,1.0,0.6591232152159233,0.52198376771426,0.5536951727437609,0.5577747880728878,0.5847920019499776,0.30146709825316975,0.06840644817118247,0.29609193289351476,0.2465524316657356,0.3323754426475921,0.31894329670537874,0.24839567988255598,0.38067569098328613,0.20077437592048314,0.28360669854688514,0.21312014189594916,0.03607179878564651,0.23885262620915107,0.20671836342857694,0.805324195494363,0.4724684437304437,0.4349257147250876,0.503053353298951,0.39430948181175646,0.4993163685937669
mean compactness,0.506123577526363,0.23670222207437197,0.5569362108795619,0.498501682152412,0.6591232152159233,1.0,0.8831206701772507,0.831135043133698,0.6026410484055157,0.5653686634145217,0.49747344608506183,0.046204830716407,0.5489052645888236,0.45565285198788846,0.1352992677004714,0.7387217896603929,0.5705168714898889,0.642261850971647,0.22997659080143223,0.5073181269004213,0.5353153982176662,0.24813283327741725,0.5902104277312981,0.50960380555792,0.5655411663750887,0.8658090398022626,0.8162752498000282,0.8155732235690645,0.510223429921806,0.6873823227538975
mean concavity,0.6767635503908105,0.30241782794389144,0.7161356501174047,0.6859828285519112,0.52198376771426,0.8831206701772507,1.0,0.921391026378859,0.5006666171419607,0.336783359421185,0.6319248221414899,0.07621834813534022,0.6603907872419604,0.6174268058452413,0.09856374579911731,0.6702788246430194,0.6912702075448504,0.6832599165123261,0.1780092079208776,0.44930074905033784,0.6882364076436723,0.29987888870969076,0.7295649165132017,0.6759872313060873,0.44882203840476004,0.7549680159063961,0.8841026390943817,0.8613230336379513,0.4094641265399857,0.5149298906363857
mean concave points,0.8225285223871784,0.29346405131394276,0.8509770412528194,0.8232688686524342,0.5536951727437609,0.831135043133698,0.921391026378859,1.0,0.46249738836735826,0.16691738322699232,0.6980498335607401,0.021479581923401814,0.710649871613898,0.6902985397595536,0.02765330838713596,0.49042424959357145,0.43916706847426173,0.615634130896919,0.09535078688667677,0.25758374624303265,0.8303176311186159,0.2927517130015173,0.8559231281343123,0.8096296199096182,0.4527530541790489,0.6674536768257124,0.7523994975749643,0.910155314298592,0.3757441454236113,0.36866113371677106
mean symmetry,0.14774124199260188,0.07140098048331764,0.18302721211685316,0.1512930790351123,0.5577747880728878,0.6026410484055157,0.5006666171419607,0.46249738836735826,1.0,0.47992133005096904,0.3033792632072624,0.12805292634025606,0.31389276079651307,0.22397021941762962,0.18732116526139078,0.4216591470050107,0.3426270230777206,0.39329787208901684,0.4491365423934286,0.33178614627312375,0.18572775349568738,0.09065068811664319,0.21916855911105815,0.17719337737409682,0.4266750263849465,0.47320001324461847,0.433721007590172,0.4302966114579542,0.6998257976437307,0.4384134984446025
mean fractal dimension,-0.31163082630928984,-0.0764371834481342,-0.2614769080663325,-0.28310981169142607,0.5847920019499776,0.5653686634145217,0.336783359421185,0.16691738322699232,0.47992133005096904,1.0,0.00011099507262963461,0.1641739658717288,0.03982993157204734,-0.090170247520427,0.40196442544841254,0.5598366906211326,0.44663032169957156,0.3411980443971182,0.34500739714372797,0.6881315774585518,-0.2536914948766098,-0.051269202036765375,-0.2051512112627734,-0.23185445116756032,0.5049420753517612,0.45879815666785945,0.3462338763480677,0.17532544924324475,0.33401868385108374,0.7672967792384361
